scenario_name,horizon_month,market_mortgage_rate,unemployment_rate,hpi_yoy_growth,assumption_note
base,1,6.1775,4.3,0.00776,"Observed conditions at 2026-03 held flat for 12 months (rate 6.18%, unemployment 4.30%, HPI YoY 0.78%). No shock applied. CONSTRUCTED ASSUMPTION; history is observed."
base,2,6.1775,4.3,0.00776,"Observed conditions at 2026-03 held flat for 12 months (rate 6.18%, unemployment 4.30%, HPI YoY 0.78%). No shock applied. CONSTRUCTED ASSUMPTION; history is observed."
base,3,6.1775,4.3,0.00776,"Observed conditions at 2026-03 held flat for 12 months (rate 6.18%, unemployment 4.30%, HPI YoY 0.78%). No shock applied. CONSTRUCTED ASSUMPTION; history is observed."
base,4,6.1775,4.3,0.00776,"Observed conditions at 2026-03 held flat for 12 months (rate 6.18%, unemployment 4.30%, HPI YoY 0.78%). No shock applied. CONSTRUCTED ASSUMPTION; history is observed."
base,5,6.1775,4.3,0.00776,"Observed conditions at 2026-03 held flat for 12 months (rate 6.18%, unemployment 4.30%, HPI YoY 0.78%). No shock applied. CONSTRUCTED ASSUMPTION; history is observed."
base,6,6.1775,4.3,0.00776,"Observed conditions at 2026-03 held flat for 12 months (rate 6.18%, unemployment 4.30%, HPI YoY 0.78%). No shock applied. CONSTRUCTED ASSUMPTION; history is observed."
base,7,6.1775,4.3,0.00776,"Observed conditions at 2026-03 held flat for 12 months (rate 6.18%, unemployment 4.30%, HPI YoY 0.78%). No shock applied. CONSTRUCTED ASSUMPTION; history is observed."
base,8,6.1775,4.3,0.00776,"Observed conditions at 2026-03 held flat for 12 months (rate 6.18%, unemployment 4.30%, HPI YoY 0.78%). No shock applied. CONSTRUCTED ASSUMPTION; history is observed."
base,9,6.1775,4.3,0.00776,"Observed conditions at 2026-03 held flat for 12 months (rate 6.18%, unemployment 4.30%, HPI YoY 0.78%). No shock applied. CONSTRUCTED ASSUMPTION; history is observed."
base,10,6.1775,4.3,0.00776,"Observed conditions at 2026-03 held flat for 12 months (rate 6.18%, unemployment 4.30%, HPI YoY 0.78%). No shock applied. CONSTRUCTED ASSUMPTION; history is observed."
base,11,6.1775,4.3,0.00776,"Observed conditions at 2026-03 held flat for 12 months (rate 6.18%, unemployment 4.30%, HPI YoY 0.78%). No shock applied. CONSTRUCTED ASSUMPTION; history is observed."
base,12,6.1775,4.3,0.00776,"Observed conditions at 2026-03 held flat for 12 months (rate 6.18%, unemployment 4.30%, HPI YoY 0.78%). No shock applied. CONSTRUCTED ASSUMPTION; history is observed."
adverse_credit,1,6.1775,4.55,-0.00122,"Unemployment rises 3.00pp over 12 months and HPI growth falls to -10% YoY; rates held flat. CONSTRUCTED ASSUMPTION at supervisory (DFAST/CCAR-style) severity, NOT taken from the panel window. Disclosed basis: the largest 12-month unemployment rise observed in UNRATE over the window is 11.1pp, but that is the COVID one-off (peak 14.8% in 2020-04); excluding 2020-01..2021-06 the largest rise is only 1.4pp, and the weakest HPI growth observed is -0.29%. The window contains no housing downturn, so an empirically-anchored adverse case would not stress the book; supervisory magnitudes are used instead."
